Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
ATVSAFETY.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
CPSC.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
DRYWALLRESPONSE.GOV,Federal - Executive,Consumer Product Safety Commission,US Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
POOLSAFELY.GOV,Federal - Executive,Consumer Product Safety Commission,US Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
POOLSAFETY.GOV,Federal - Executive,Consumer Product Safety Commission,US Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
RECALLS.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
SAFERPRODUCT.GOV,Federal - Executive,Consumer Product Safety Commission,U.S. Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
SAFERPRODUCTS.GOV,Federal - Executive,Consumer Product Safety Commission,U.S. Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
SEGURIDADCONSUMIDOR.GOV,Federal - Executive,Consumer Product Safety Commission,U.S. Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov
AMERICORPS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
CCC.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov
CNCS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
CNS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
JOINAMERICORPS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
MENTOR.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
MLKDAY.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
NATIONALSERVICE.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
PRESIDENTIALSERVICEAWARDS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
SERVE.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
VISTACAMPUS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
VOLUNTEERINGINAMERICA.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov
AMERICORPSOIG.GOV,Federal - Executive,"Corporation for National and Community Service, Office Of Inspector General",AmeriCorps Office of Inspector General,Washington,DC,IT@cncsoig.gov
CNCSOIG.GOV,Federal - Executive,"Corporation for National and Community Service, Office Of Inspector General","Corporation for National and Community Service, Office Of Inspector General,",Washington,DC,IT@cncsoig.gov
CIGIE.GOV,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,COUNCIL OF INSPECTOR GENERAL ON INTEGRITY AND EFFICIENCY,Washington,DC,security@cigie.gov
IGNET.GOV,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov
OVERSIGHT.GOV,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov
PANDEMICOVERSIGHT.GOV,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov
CSOSA.FED.US,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency/Office of information Technology,Washington,DC,Soc@csosa.gov
CSOSA.GOV,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency/Office of information Technology,Washington,DC,Soc@csosa.gov
PRETRIALSERVICES.GOV,Federal - Executive,Court Services and Offender Supervision,Pretrial Services Agency for the District of Columbia,Washington,DC,PSAITSecurity@PSA.gov
PSA.GOV,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency,Washington,DC,PSAITSecurity@PSA.gov
DNFSB.GOV,Federal - Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Washington,DC,cyberalerts@dnfsb.gov
DRA.GOV,Federal - Executive,Delta Regional Authority,Delta Regional Authority,Clarksdale,MS,(blank)
DENALI.GOV,Federal - Executive,Denali Commission,Denali Commission,Anchorage,AK,jherrick@denali.gov
2020CENSUS.GOV,Federal - Executive,Department of Commerce,U.S. Census Bureau,Suitland,MD,boc.cirt@census.gov
AP.GOV,Federal - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov
AVIATIONWEATHER.GOV,Federal - Executive,Department of Commerce,National Weather Service,Silver Spring,MD,security@noaa.gov
BEA.GOV,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,Suitland,MD,bea-cirt@bea.gov
BLDRDOC.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Boulder,CO,siirt@nist.gov
BUYUSA.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
CENSUS.GOV,Federal - Executive,Department of Commerce,U.S. Census Bureau,Suitland,MD,boc.cirt@census.gov
CHIPS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards & Technology,Gaithersburg,MD,siirt@nist.gov
CLIMATE.GOV,Federal - Executive,Department of Commerce,NWS/OPS33,Silver Spring,MD,security@noaa.gov
COMMERCE.GOV,Federal - Executive,Department of Commerce,Depatment of Commerce,Washington,DC,esoc@doc.gov
DNSOPS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,antd-siirt@nist.gov
DOC.GOV,Federal - Executive,Department of Commerce,Office of the Chief Information Officer,Washington,DC,esoc@doc.gov
DROUGHT.GOV,Federal - Executive,Department of Commerce,NOAA/NCDC,Asheville,NC,security@noaa.gov
EDA.GOV,Federal - Executive,Department of Commerce,ECONOMIC DEVELOPMENT ADMINISTRATION,Washington,DC,esoc@doc.gov
EXPORT.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
FIRSTNET.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,FirstnetEmailSec@firstnet.gov
FISHWATCH.GOV,Federal - Executive,Department of Commerce,NOAA Fisheries,Silver Spring,MD,security@noaa.gov
GOES-R.GOV,Federal - Executive,Department of Commerce,NASA GSFC,Greenbelt,MD,security@noaa.gov
GPS.GOV,Federal - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,Washington,DC,security@noaa.gov
HURRICANES.GOV,Federal - Executive,Department of Commerce,NOAA/National Hurricane Center,Miami,FL,security@noaa.gov
ICAMS-PORTAL.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,Silver Spring,MD,security@noaa.gov
LUCA-APPEALS.GOV,Federal - Executive,Department of Commerce,US Census Bureau,Washington,DC,boc.cirt@census.gov
MANUFACTURING.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Washington,DC,siirt@nist.gov
MARINECADASTRE.GOV,Federal - Executive,Department of Commerce,NOAA Coastal Services Center,Charleston,SC,security@noaa.gov
MBDA.GOV,Federal - Executive,Department of Commerce,MBDA (Minority Business Development Agency),Washington,DC,esoc@doc.gov
MGI.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,MD,siirt@nist.gov
MY2020CENSUS.GOV,Federal - Executive,Department of Commerce,US Census Bureau,Washington,DC,boc.cirt@census.gov
NEHRP.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,MD,siirt@nist.gov
NIST.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,MD,siirt@nist.gov
NOAA.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov
NTIA.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOPs@ntia.gov
NTIS.GOV,Federal - Executive,Department of Commerce,National Technical Information Service,Alexandria,VA,security@ntis.gov
NWIRP.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,MD,siirt@nist.gov
OFCM.GOV,Federal - Executive,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,Silver Spring,MD,security@noaa.gov
PAPAHANAUMOKUAKEA.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov
PRIVACYSHIELD.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
PSCR.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,MD,siirt@nist.gov
SDR.GOV,Federal - Executive,Department of Commerce,National Science and Technology Council,Washington,DC,security@noaa.gov
SELECTUSA.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
SEMICONDUCTORS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards & Technology,Gaithersburg,MD,siirt@nist.gov
SPACEWEATHER.GOV,Federal - Executive,Department of Commerce,Space Environment Center W/NP9,Boulder,CO,security@noaa.gov
SPECTRUM.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOPs@ntia.gov
STANDARDS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Gaithersburg,MD,siirt@nist.gov
STOPFAKES.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
SWORM.GOV,Federal - Executive,Department of Commerce,NOAA/Space Weather Prediction Center,Boulder,CO,security@noaa.gov
TASEFILING.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
TIME.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology (NIST),Boulder,CO,siirt@nist.gov
TRADE.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
TSUNAMI.GOV,Federal - Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,Palmer,AK,security@noaa.gov
USICECENTER.GOV,Federal - Executive,Department of Commerce,U. S. National Ice Center,Suitland,MD,security@noaa.gov
USPTO.GOV,Federal - Executive,Department of Commerce,USPTO,Washington,DC,C32@uspto.gov
WEATHER.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov
WWTG.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov
XD.GOV,Federal - Executive,Department of Commerce,Bureau of the Census,Suitland,MD,boc.cirt@census.gov
ADLNET.GOV,Federal - Executive,Department of Defense,Advanced Distributed Learning Initiative,Washington,DC,cybersecurity@adlnet.gov
AFTAC.GOV,Federal - Executive,Department of Defense,AFTAC,Patrick AFB,FL,dco@aftac.gov
ALTUSANDC.GOV,Federal - Executive,Department of Defense,aftac,Patrick AFB,FL,dco@aftac.gov
BUSINESSDEFENSE.GOV,Federal - Executive,Department of Defense,"Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",Washington,DC,(blank)
CMTS.GOV,Federal - Executive,Department of Defense,US Army Corps of Engineers,Mobile,AL,(blank)
CNSS.GOV,Federal - Executive,Department of Defense,CNSS Secretariat,Fort Meade,MD,(blank)
CTOC.GOV,Federal - Executive,Department of Defense,MCTFT,Starke,FL,(blank)
CTTSO.GOV,Federal - Executive,Department of Defense,Combating Terrorism Technical Support Office,Arlington,VA,(blank)
DC3ON.GOV,Federal - Executive,Department of Defense,Defense Cyber Crime Center,Linthicum,MD,(blank)
DEFENSE.GOV,Federal - Executive,Department of Defense,Defense Media Activity,Fort Meade,MD,pubwebhd@defense.gov
ERDC.GOV,Federal - Executive,Department of Defense,Engineer Research and Development Center,Vicksburg,MS,(blank)
FEHRM.GOV,Federal - Executive,Department of Defense,FEHRM,Rosslyn,VA,christopher.c.wallace.civ@mail.mil
FVAP.GOV,Federal - Executive,Department of Defense,Federal Voting Assistance Program,Alexandria,VA,(blank)
HIVE.GOV,Federal - Executive,Department of Defense,PEO DHMS,Rosslyn,VA,christopher.c.wallace.civ@mail.mil
IAD.GOV,Federal - Executive,Department of Defense,National Security Agency,Fort Meade,MD,Njsause@nsa.gov
IOSS.GOV,Federal - Executive,Department of Defense,Interagency OPSEC Support Staff,Greenbelt,MD,(blank)
ITC.GOV,Federal - Executive,Department of Defense,Interagency Training Center,Fort Washington,MD,itcrowd@itc.gov
IWTSD.GOV,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,(blank)
JCCS.GOV,Federal - Executive,Department of Defense,Defense Logistics Agency,Alexandria,VA,(blank)
MOJAVEDATA.GOV,Federal - Executive,Department of Defense,Mojave Desert Ecosystem Program,Barstow,CA,fduke@mojavedata.gov
MTMC.GOV,Federal - Executive,Department of Defense,Department of Defense,Alexandria,VA,(blank)
MYPAY.GOV,Federal - Executive,Department of Defense,Defense Finance and Accounting Service,Pensacola,FL,(blank)
NATIONALRESOURCEDIRECTORY.GOV,Federal - Executive,Department of Defense,OFFICE OF WARRIOR CARE POLICY,Arlington,VA,(blank)
NBIB.GOV,Federal - Executive,Department of Defense,Defense Counterintelligence and Security Agency,Washington,DC,kevin.crews@opm.gov
NRD.GOV,Federal - Executive,Department of Defense,OFFICE OF WARRIOR CARE POLICY,Arlington,VA,(blank)
NRO.GOV,Federal - Executive,Department of Defense,NRO,Chantilly,VA,bakersir@nro.mil
NROJR.GOV,Federal - Executive,Department of Defense,NRO,Chantilly,VA,hugheysh@nro.ic.gov
NSA.GOV,Federal - Executive,Department of Defense,NSA,Fort Meade,MD,ea_dns@nsa.gov
NSEP.GOV,Federal - Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,Alexandria,VA,nsep@nsep.gov
OEA.GOV,Federal - Executive,Department of Defense,Office of Economic Adjustment,Arlington,VA,james.v.evans29.civ@mail.mil
OLDCC.GOV,Federal - Executive,Department of Defense,Office of Local Defense Community Cooperation,Arlington,VA,oea.ncr.OEA.mbx.oea-it-security@mail.mil
TAK.GOV,Federal - Executive,Department of Defense,TAK Product Center,Fort Belvoir,VA,security@tak.gov
TSWG.GOV,Federal - Executive,Department of Defense,Technical Support Working Group,Arlington,VA,cttsosecurity@cttso.gov
USANDC.GOV,Federal - Executive,Department of Defense,AFTAC/LSCSS,Patrick AFB,FL,dco@aftac.gov
BUDGETLOB.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov
CHILDSTATS.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov
COLLEGENAVIGATOR.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov
ED.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov
FAFSA.GOV,Federal - Executive,Department of Education,U.S. Department of Education,Washington,DC,EDSOC@ed.gov
G5.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov
NAGB.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov
NATIONSREPORTCARD.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov
STUDENTAID.GOV,Federal - Executive,Department of Education,U.S. Department of Education (ED),Washington,DC,EDSOC@ed.gov
STUDENTLOANS.GOV,Federal - Executive,Department of Education,U.S. Department of Education,Washington,DC,EDSOC@ed.gov
AMESLAB.GOV,Federal - Executive,Department of Energy,Ames Laboratory,Ames,IA,cybersec@ameslab.gov
ANL.GOV,Federal - Executive,Department of Energy,Argonne National Laboratory,Argonne,IL,CIRC@JC3.DOE.GOV
ARM.GOV,Federal - Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,Richland,WA,security@arm.gov
BIOMASSBOARD.GOV,Federal - Executive,Department of Energy,EERE,Washington,DC,CIRC@JC3.DOE.GOV
BNL.GOV,Federal - Executive,Department of Energy,Brookhaven National Laboratory,Upton,NY,security@bnl.gov
BPA.GOV,Federal - Executive,Department of Energy,Bonneville Power Administration,Portland,OR,security@bpa.gov
BUILDINGAMERICA.GOV,Federal - Executive,Department of Energy,US DEPARTMENT OF ENERGY,Golden,CO,CIRC@JC3.DOE.GOV
CASL.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,TN,security@ornl.gov
CEBAF.GOV,Federal - Executive,Department of Energy,Thomas Jefferson National Accelerator Facility,Newport News,VA,security@jlab.org
CENDI.GOV,Federal - Executive,Department of Energy,Department of Energy - OSTI,Oak Ridge,TN,CIRC@JC3.DOE.GOV
DOE.GOV,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",Washington,DC,CIRC@JC3.DOE.GOV
DOEAL.GOV,Federal - Executive,Department of Energy,NNSA,Albuquerque,NM,CorporateCommunications@unnpp.onmicrosoft.com
EIA.GOV,Federal - Executive,Department of Energy,Energy Information Administration,Washington,DC,marc.cree@eia.gov
ENERGY.GOV,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",Washington,DC,CIRC@JC3.DOE.GOV
ENERGYCODES.GOV,Federal - Executive,Department of Energy,Department of Energy Bulding Energy Codes Program,Richland,WA,CIRC@JC3.DOE.GOV
ENERGYCOMMUNITIES.GOV,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",Washington,DC,CIRC@JC3.DOE.GOV
ENERGYSAVER.GOV,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,CIRC@JC3.DOE.GOV
ENERGYSAVERS.GOV,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,CIRC@JC3.DOE.GOV
FNAL.GOV,Federal - Executive,Department of Energy,Fermi National Accelerator Laboratory,Batavia,IL,security@fnal.gov
FUELECONOMY.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,TN,security@ornl.gov
HANFORD.GOV,Federal - Executive,Department of Energy,Hanford Mission Integration Solutions,Richland,WA,jason_r_dandridge@rl.gov
HOMEENERGYSCORE.GOV,Federal - Executive,Department of Energy,Office of Energy Efficiency & Renewable Energy,Washington,DC,DL-EEREActioNetWebTeam@ee.doe.gov
HYDROGEN.GOV,Federal - Executive,Department of Energy,Research and Special Programs Administration / Volpe,Washington,DC,DL-EEREActioNetWebTeam@ee.doe.gov
INEL.GOV,Federal - Executive,Department of Energy,Idaho National Laboratory,Idaho Falls,ID,whoisresponse@inl.gov
INL.GOV,Federal - Executive,Department of Energy,Idaho National Laboratory,Idaho Falls,ID,whoisresponse@inl.gov
ISOTOPE.GOV,Federal - Executive,Department of Energy,The National Isotope Development Center ,Oak Ridge,TN,security@ornl.gov
ISOTOPES.GOV,Federal - Executive,Department of Energy,The National Isotope Development Center ,Oak Ridge,TN,security@ornl.gov
LANL.GOV,Federal - Executive,Department of Energy,Los Alamos National Laboratory,Los Alamos,NM,csirt@lanl.gov
LBL.GOV,Federal - Executive,Department of Energy,Lawrence Berkeley National Laboratory,Berkeley,CA,security@lbl.gov
LLNL.GOV,Federal - Executive,Department of Energy,Lawrence Livermore National Laboratory,Livermore,CA,cybersecurity@llnl.gov
NCCS.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,TN,security@ornl.gov
NCRC.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,TN,security@ornl.gov
NERSC.GOV,Federal - Executive,Department of Energy,National Energy Research Scientific Computing Center,Berkeley,CA,security@lbl.gov
NEUP.GOV,Federal - Executive,Department of Energy,Office of Nuclear Energy,Washington,DC,cyberops@Inl.gov
NREL.GOV,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,Golden,CO,CIRC@JC3.DOE.GOV
NRELHUB.GOV,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,Golden,CO,CIRC@JC3.DOE.GOV
NTRC.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Knoxville,TN,security@ornl.gov
NUCLEAR.GOV,Federal - Executive,Department of Energy,US Department of Energy,Washington,DC,CIRC@JC3.DOE.GOV
ORAU.GOV,Federal - Executive,Department of Energy,ORAU,Oak Ridge,TN,CIRC@JC3.DOE.GOV
ORNL.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,TN,security@ornl.gov
OSTI.GOV,Federal - Executive,Department of Energy,OSTI,Oak Ridge,TN,security@osti.gov
PCAST.GOV,Federal - Executive,Department of Energy,U.S. Department of Energy,Washington,DC,CIRC@JC3.DOE.GOV
PNL.GOV,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,Richland,WA,CIRC@JC3.DOE.GOV
PNNL.GOV,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,Richland,WA,CIRC@JC3.DOE.GOV
PPPL.GOV,Federal - Executive,Department of Energy,Princeton Plasma Physics Lab,Princeton,NJ,security@pppl.gov
PPPO.GOV,Federal - Executive,Department of Energy,Portsmouth/Paducah Project Office,Lexington,KY,csnotifications@pppo.gov
RL.GOV,Federal - Executive,Department of Energy,Hanford Mission Integration Solutions,Richland,WA,jason_r_dandridge@rl.gov
SALMONRECOVERY.GOV,Federal - Executive,Department of Energy,Bonneville Power Administration,Portland,OR,security@bpa.gov
SANDIA.GOV,Federal - Executive,Department of Energy,Sandia National Laboratories,Albuquerque,NM,abuse@sandia.gov
SCIDAC.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,TN,security@ornl.gov
SCIENCE.GOV,Federal - Executive,Department of Energy,OSTI,Oak Ridge,TN,security@osti.gov
SMARTGRID.GOV,Federal - Executive,Department of Energy,Office of Electricity Delivery and Energy Reliability,Washington,DC,aws.master@nrel.gov
SNS.GOV,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,Oak Ridge,TN,security@ornl.gov
SOLARDECATHLON.GOV,Federal - Executive,Department of Energy,Office of Energy Efficiency &  Renewable Energy ,Washington,DC,CIRC@JC3.DOE.GOV
SRNL.GOV,Federal - Executive,Department of Energy,Savannah River National Lab,Aiken,SC,netsec@srs.gov
